"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.0033,0,2.62e-05,0.00485,0,0.000492
"2","Jan",0.000943,0,2.32e-06,0.00597,0,0.000693
"3","Feb",0.00113,0,2.97e-06,0.00432,0,0.000299
"4","Mar",0.00185,2.6e-05,6.48e-06,0.00616,0,0.000448
"5","Apr",0.00296,0.000854,1.39e-05,0.00463,0,0.000481
"6","May",0.00465,0.00212,2.99e-05,0.00471,0,0.00034
"7","Jun",0.00624,0.00321,4.98e-05,0.00656,0,0.000892
"8","Jul",0.00685,0.00336,5.79e-05,0.00506,0,0.000546
"9","Aug",0.0061,0.002,5.06e-05,0.00403,0,0.000451
"10","Sep",0.00412,0.000213,2.75e-05,0.00549,0,0.00077
"11","Oct",0.00233,0,1.04e-05,0.00254,0,0.000214
"12","Nov",0.00139,0,4.89e-06,0.00468,0,0.000479
"13","Dec",0.000877,0,2.08e-06,0.00402,0,0.000287
